"","number","Sample_ID","Category","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%"
"540","p","SS048","Wild ruminant",0.05,0.044,0.005,0.007,0.021,0.039,0.065,0.13,0.16
"541","p","SS049","Wild ruminant",0.051,0.053,0.005,0.008,0.02,0.037,0.063,0.135,0.181
"542","p","SS050","Wild ruminant",0.04,0.044,0.005,0.006,0.016,0.03,0.051,0.104,0.136
"543","p","SS051","Wild ruminant",0.034,0.026,0.004,0.006,0.015,0.028,0.046,0.087,0.103
"544","p","SS054","Wild ruminant",0.084,0.069,0.009,0.013,0.037,0.067,0.111,0.209,0.261
"545","p","SS055","Wild ruminant",0.122,0.103,0.01,0.016,0.05,0.093,0.162,0.326,0.401
"546","p","SS056","Wild ruminant",0.039,0.032,0.005,0.007,0.017,0.03,0.051,0.097,0.12
"547","p","SS057","Wild ruminant",0.043,0.036,0.005,0.007,0.019,0.034,0.056,0.107,0.133
"548","p","SS058","Wild ruminant",0.054,0.067,0.005,0.007,0.02,0.037,0.064,0.146,0.209
"549","p","SS060","Wild ruminant",0.055,0.048,0.006,0.009,0.023,0.043,0.072,0.141,0.172
"550","p","SS062","Wild ruminant",0.046,0.042,0.005,0.007,0.019,0.036,0.061,0.119,0.149
"551","p","SS063","Wild ruminant",0.044,0.037,0.005,0.007,0.019,0.034,0.057,0.112,0.14
"552","p","SS064","Wild ruminant",0.099,0.077,0.01,0.015,0.044,0.081,0.132,0.246,0.295
