Region,SiteName,Site description,,Latitude,Longitude,Individual ID,Taxon common name,Sex,Age category individual,Sample type,Min age (95%),Max age (95%),Dating method,14C,14C unc,Period_tags,Period_2,Group,d13C_coll,delta 13C coll_err,d15N_coll,delta 15N coll_err,Collagen yield,,%C,%N,C/N,Reference
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0081,Human,M,Mature adult,Femur,-400,-150,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-19.1,0.5,10.8,0.5,0.82,,37.5,12.1,3.6,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0822,Human,F,Adult,Femur,-400,-150,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-19.4,0.5,10.1,0.5,0.15,,29,8.2,4.1,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ1276,Human,F,Adult,Limb,-400,-150,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-19.7,0.5,10.2,0.5,0.4,,33.6,11.3,3.5,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0044,Human,F,Mature-older adult,Rib,-400,-150,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-19.4,0.5,10,0.5,1.94,,42.2,14.7,3.4,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0052,Human,F,Mature adult,Limb,-400,-150,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-19.8,0.5,11.3,0.5,0.42,,32.9,9.2,4.2,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0079,Human,M,Mature adult,Radius,-400,-150,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-19.8,0.5,11.7,0.5,0.19,,27.1,6.5,4.9,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0090,Human,M,Mature adult,Limb,-400,-150,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-20.1,0.5,11.3,0.5,0.11,,31.2,8.4,4.3,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0097,Human,F,Adult,Limb,-400,-150,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-19.6,0.5,9.1,0.5,2.99,,44.3,14.3,3.6,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0494,Human,F,Mature-older adult,Limb,-400,-150,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-21.5,0.5,12.1,0.5,0.2,,6.1,1.4,5.1,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0323,Human,F,Adult,L tibia,-150,100,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-20.1,0.5,11.6,0.5,0.31,,30.2,9.2,3.8,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
