Count,Sherd sample Database Individual  number,Sherd_ID_original ,Sample_ID,Vessel_ID,Site_code,Site_name,Country,Region,Latitude ,Longitude ,Phase,Phase_2,Sample_type,Yield_AE,d13C16,d13C18,bigD,Miliacin,Aquatic,AE GC-MS Scan Data file ,TMTD,Pristanic ,Phytanic,SRR_RRR ,APAA_range,APAA_C18_area ,APAA_C20_area ,APAA_EH,APAA_20_18,
41,ENC226,SX01　3・4区ベルト,RMM10IAE,RMM10,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,1.53,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
42,ENC227,SX01　3・4区ベルト,RMM11IAE,RMM11,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,1.61,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
43,ENC228,SX01　3・4区ベルト,RMM12IAE,RMM12,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,2.26,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
44,ENC229,SX01　2・4区ベルト,RMM13IAE,RMM13,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,2.04,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
45,ENC230,SX01　2・4区ベルト,RMM14IAE,RMM14,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,3.56,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
46,ENC231,SX01　2・4区ベルト,RMM15IAE,RMM15,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,3.52,,,,no,no,2021_07_09_MB,no,no,no,,,0,0,,,
47,ENC232,SX01　,RMM16IAE,RMM16,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,3.32,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
48,ENC233,SX01　4区,RMM17IAE,RMM17,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,2.37,,,,no,no,2021_07_12_MB,no,no,tr,,,0,0,,,
49,ENC234,SX01　4区,RMM18IAE,RMM18,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,2.13,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
50,ENC235,SX01　4区,RMM19IAE,RMM19,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,1.62,,,,no,no,2021_07_12_MB,no,no,no,,,321670,0,,,
51,ENC236,SX01　4区,RMM20IAE,RMM20,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,0.82,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
52,ENC237,SX01　No.15,RMM21IAE,RMM21,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,2.13,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
53,ENC238,SX01　No.15,RMM22IAE,RMM22,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,2.35,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
54,ENC239,SX01　No.15,RMM23IAE,RMM23,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,8.71,,,,no,no,2021_07_12_MB,no,no,no,,,130406,0,,,
55,ENC240,SX01　No.8,RMM24IAE,RMM24,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,3.17,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
56,ENC241,SX01　No.13,RMM25IAE,RMM25,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,4.67,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
57,ENC242,SX01　No.9,RMM26IAE,RMM26,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,1.95,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
58,ENC243,SX01　No.7,RMM27IAE,RMM27,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,5.16,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
59,ENC244,SX01　No.13,RMM28IAE,RMM28,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,2.43,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
60,ENC245,SX01　No.16,RMM29IAE,RMM29,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,2.26,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
61,ENC246,SX01　No.7,RMM30IAE,RMM30,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,1.6,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
62,ENC247,001813135 R-12 (context ID),SHC01IAE,SHC01,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,1084.18,-27.131,-26.486,0.646,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
63,ENC248,001813187 R-10 (context ID),SHC02IAE,SHC02,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,4.89,,,,no,no,2021_07_12_MB,no,no,no,,,1916078,0,,,
64,ENC249,SHC6IV SK500 loc2-1  (context ID),SHC03IAE,SHC03,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,5.65,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
65,ENC250,001813182 R-1  (context ID),SHC04IAE,SHC04,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,19.1,,,,no,no,2021_07_12_MB,no,tr,no,,,0,0,,,
66,ENC251,001813198 R-9 (context ID),SHC05IAE,SHC05,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,6.95,-29.573,-29.332,0.242,no,no,2021_07_12_MB,no,tr,yes,89.6,,0,0,,,
